Row,username,Total,T1,T2,quote_farsi,quote_english,T3,T4,T5,T6,T7,T8,T9,T10,T11
123,Afsanehgf3m,1,1,0,0,0,0,0,0,0,0,0,0,0,0
124,Afshangkhan,6,0,1,0,0,1,0,0,1,1,1,0,0,1
125,AfshidorAfshid,3,1,0,0,0,0,0,0,0,1,0,1,0,0
126,Afshin2552,2,1,0,0,0,0,0,0,0,1,0,0,0,0
127,AfshinTaghipoor,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128,AfsoonAB,7,0,1,0,0,1,0,1,0,1,1,1,1,0
129,AgaNielsen,1,0,1,0,0,0,0,0,0,0,0,0,0,0
130,AgeofPahlavi,3,1,1,0,0,1,0,0,0,0,0,0,0,0
131,AghBozorgoo,2,1,0,0,0,0,0,0,1,0,0,0,0,0
132,AghaeiSima11237,2,1,1,0,0,0,0,0,0,0,0,0,0,0
133,AhmadMirzae1982,4,1,0,0,0,0,0,0,0,0,1,1,0,1
134,AhmadMostafalo4,2,0,1,0,0,1,0,0,0,0,0,0,0,0
135,AhmadrezaAtai,9,1,1,0,0,1,1,0,1,1,1,1,1,0
136,Ahoora333889,7,1,0,0,0,1,1,1,0,1,1,0,1,0
137,AhoraShamim,1,1,0,0,0,0,0,0,0,0,0,0,0,0
138,Ahumaninplanet,7,1,1,0,0,1,0,0,1,1,0,1,1,0
139,Ahura_Shirazi,6,1,0,0,0,1,1,0,1,0,1,0,1,0
140,Aidasb76,1,0,1,0,0,0,0,0,0,0,0,0,0,0
141,Aidin_FreeIran,3,1,0,0,0,1,0,0,0,0,1,0,0,0
142,Aieryanem,9,1,1,0,0,0,1,0,1,1,1,1,1,1
143,AinOttawa,1,1,0,0,0,0,0,0,0,0,0,0,0,0
144,AirHanging,2,1,1,0,0,0,0,0,0,0,0,0,0,0
145,Aisashah,2,0,1,0,0,0,0,0,1,0,0,0,0,0
146,Aj06675141A,6,1,1,0,0,0,0,0,1,1,0,1,1,0
147,AjabVazee,7,1,1,0,0,0,0,0,1,1,1,1,1,0
148,Akaretam_Hero,3,1,0,0,0,0,1,1,0,0,0,0,0,0
149,Akeenake2582,4,1,1,0,0,0,0,0,0,1,0,1,0,0
150,AkiBarzi,4,0,1,0,0,1,0,0,0,0,0,1,0,1
